"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2023","EQ","1,026.60","1,033.60","1,012.10","1,027.30","1,013.50","1,014.45","1,020.78","1,047.50","707.70","81,56,588","8,32,60,84,260.80","2,26,052"
"20-Sep-2023","EQ","1,012.30","1,047.50","1,012.30","1,024.75","1,027.00","1,027.30","1,032.71","1,047.50","707.70","1,36,19,788","14,06,52,44,955.60","3,20,975"
"18-Sep-2023","EQ","1,021.55","1,029.90","1,019.00","1,027.15","1,022.75","1,024.75","1,025.91","1,031.75","707.70","63,97,319","6,56,30,81,439.80","2,01,997"
"15-Sep-2023","EQ","1,021.00","1,031.75","1,014.55","1,020.90","1,022.90","1,027.15","1,024.97","1,031.75","707.70","89,86,157","9,21,05,14,298.30","2,14,008"
"14-Sep-2023","EQ","1,014.45","1,022.40","1,009.05","1,014.45","1,020.00","1,020.90","1,017.77","1,022.40","707.70","78,55,558","7,99,51,36,644.40","2,33,556"
"13-Sep-2023","EQ","1,002.95","1,017.00","993.70","1,000.90","1,016.75","1,014.45","1,009.41","1,017.00","707.70","1,22,54,423","12,36,97,01,006.75","2,35,005"
"12-Sep-2023","EQ","1,010.00","1,010.00","998.05","1,000.40","1,000.30","1,000.90","1,003.31","1,010.00","707.70","89,58,327","8,98,79,35,681.45","2,73,700"
"11-Sep-2023","EQ","981.80","1,004.00","979.00","980.30","1,003.00","1,000.40","993.36","1,004.00","707.70","71,30,484","7,08,31,03,947.70","2,20,086"
"08-Sep-2023","EQ","978.20","987.30","972.50","978.20","980.15","980.30","979.08","998.00","707.70","64,39,351","6,30,46,15,744.35","1,39,828"
"07-Sep-2023","EQ","965.05","979.80","963.10","965.05","976.85","978.20","970.25","998.00","707.70","86,86,550","8,42,81,67,238.55","1,93,016"
"06-Sep-2023","EQ","981.45","983.15","961.80","981.45","966.95","965.05","970.17","998.00","707.70","1,63,51,052","15,86,33,75,525.75","3,32,757"
"05-Sep-2023","EQ","985.45","986.20","977.90","982.25","981.10","981.45","981.73","998.00","707.70","1,05,48,660","10,35,59,58,837.90","2,58,242"
"04-Sep-2023","EQ","993.75","994.55","980.00","991.15","983.45","982.25","984.61","998.00","707.70","67,27,188","6,62,36,64,482.10","1,85,609"
"01-Sep-2023","EQ","974.25","993.00","969.00","973.50","990.00","991.15","981.57","998.00","707.70","1,09,46,742","10,74,49,50,739.35","2,15,805"
"31-Aug-2023","EQ","981.80","994.70","968.60","983.35","971.50","973.50","977.98","998.00","707.70","2,15,58,300","21,08,35,83,404.95","2,91,821"
"30-Aug-2023","EQ","983.00","998.00","980.00","980.70","981.00","983.35","992.32","998.00","707.70","90,23,083","8,95,38,25,024.45","2,09,796"
"29-Aug-2023","EQ","990.20","991.00","977.50","990.20","981.85","980.70","981.69","994.25","707.70","81,14,141","7,96,55,98,160.50","2,60,845"
"28-Aug-2023","EQ","980.10","992.50","980.10","983.10","986.50","990.20","987.69","994.25","707.70","84,51,441","8,34,73,76,518.70","2,21,750"
"25-Aug-2023","EQ","974.00","988.20","970.80","981.35","982.00","983.10","980.51","994.25","707.70","62,28,241","6,10,68,75,145.00","1,64,949"
"24-Aug-2023","EQ","984.80","994.25","979.10","979.25","982.10","981.35","986.03","994.25","707.70","1,18,99,556","11,73,32,74,955.35","2,50,283"
"23-Aug-2023","EQ","962.00","980.45","958.40","957.05","977.25","979.25","972.35","990.00","707.70","1,26,77,151","12,32,66,47,757.60","1,80,436"
"22-Aug-2023","EQ","953.85","959.10","948.65","952.60","958.00","957.05","956.26","990.00","707.70","1,08,60,061","10,38,50,12,797.40","1,58,798"
"21-Aug-2023","EQ","944.20","954.25","943.95","943.05","951.50","952.60","950.40","990.00","707.70","68,22,155","6,48,38,09,700.90","1,55,184"
"18-Aug-2023","EQ","934.85","945.95","931.05","936.55","942.50","943.05","942.07","990.00","707.70","66,48,744","6,26,35,99,325.10","1,85,265"
"17-Aug-2023","EQ","935.95","943.00","931.65","933.05","937.25","936.55","938.45","990.00","707.70","93,36,994","8,76,22,92,583.50","2,76,317"
